ROUTE,vuelos,tasa_retraso_pct,distancia,impacto,recomendacion
PDX → ATL,1089,10.4,2172.0,0.7272735727850279,MANTENER
BUF → FLL,588,11.4,1165.587,0.7269468720604435,MANTENER
MSP → DLH,618,11.3,144.0,0.726193195692719,MANTENER
MSP → MOT,830,10.8,449.0,0.7259139756853895,MANTENER
SLC → ONT,940,10.6,558.0,0.7256632667779892,MANTENER
GFK → MSP,717,11.0,284.0,0.7232583424659582,MANTENER
STT → ATL,632,11.2,1599.0,0.722275612144448,MANTENER
OGG → OAK,668,11.1,2349.0,0.7219759872625676,MANTENER
BMI → ORD,958,10.5,116.0,0.7208090166869403,MANTENER
DTW → JAX,234,13.2,813.0,0.7201023872272166,MANTENER
DTW → BGM,264,12.9,378.0,0.7192974343058748,MANTENER
MOT → MSP,830,10.7,449.0,0.7191925499845988,MANTENER
SLC → BZN,1066,10.3,347.0,0.7180818662867564,MANTENER
CMH → DTW,155,14.2,155.0,0.716166366602533,MANTENER
RSW → CLT,1726,9.6,600.0,0.7155419396777638,MANTENER
MSP → GTF,305,12.5,887.0,0.7150389720759265,MANTENER
SLC → MSP,1854,9.5,991.0,0.714884570881951,MANTENER
LAX → MEM,255,12.9,1619.0,0.714822997325437,MANTENER
SYR → MCO,334,12.3,1053.0,0.7147703421361342,MANTENER
IAD → MSP,591,11.2,908.0,0.714763393949483,MANTENER
MDT → DTW,525,11.4,371.0,0.7140274019354451,MANTENER
ANC → BET,896,10.5,399.0,0.7137837433623676,MANTENER
SLC → RNO,953,10.4,422.0,0.7133999499800371,MANTENER
IND → SFO,314,12.4,1943.0,0.7129247302526234,MANTENER
IAH → CAE,286,12.6,878.0,0.7126549681633014,MANTENER
BFL → PHX,875,10.5,425.0,0.7112935080675494,MANTENER
LAX → SMX,248,12.9,134.0,0.7112323082552827,MANTENER
ROC → MCO,394,11.9,1033.0,0.7111857582064541,MANTENER
SEA → MKE,541,11.3,1694.0,0.7111563785096524,MANTENER
FAI → SEA,1316,9.9,1533.0,0.7110528590766411,MANTENER
SFO → DTW,1308,9.9,2079.0,0.7104491986696974,MANTENER
GRK → IAH,810,10.6,166.0,0.7098856302526473,MANTENER
MKE → CLE,754,10.7,328.0,0.7089169833768513,MANTENER
GSO → ORD,499,11.4,589.0,0.7082370949156732,MANTENER
CVG → SFO,231,13.0,2036.0,0.7075143023678332,MANTENER
SEA → PSP,840,10.5,987.0,0.7070071986429227,MANTENER
BUF → DTW,828,10.5,241.0,0.7054963812104522,MANTENER
IAH → DAL,481,11.4,216.0,0.7040488687920567,MANTENER
IAH → LRD,921,10.3,301.0,0.7030223837342967,MANTENER
SLC → MSN,205,13.2,1174.0,0.70263731724627,MANTENER
SJC → ORD,665,10.8,1829.0,0.7019770003908323,MANTENER
MSN → DTW,1375,9.7,311.0,0.700942273979765,MANTENER
PSP → SEA,839,10.4,987.0,0.7001499134725895,MANTENER
IAH → SDF,726,10.6,788.0,0.6982803015714283,MANTENER
SEA → CLE,151,13.9,2021.0,0.6974018973172745,MANTENER
BUF → MSP,197,13.2,735.0,0.6973828921934145,MANTENER
BOI → SAN,333,12.0,749.0,0.6969770987976532,MANTENER
CLE → MKE,759,10.5,328.0,0.6963601866265412,MANTENER
SAN → SLC,2266,9.0,626.0,0.6953194297429156,MANTENER
CAK → MCO,547,11.0,861.0,0.6934893682664179,MANTENER
PWM → DTW,514,11.1,668.0,0.6928867824655234,MANTENER
BRW → SCC,189,13.2,204.0,0.6919106059878729,MANTENER
ATL → EGE,100,15.0,1312.0,0.6907755278982137,MONITOREAR
CLE → IAH,1151,9.8,1091.0,0.6907418680547446,MANTENER
OGG → DFW,504,11.1,3711.0,0.6907059657559219,MANTENER
SLC → SJC,1671,9.3,584.0,0.6901695101593717,MANTENER
HIB → INL,329,11.9,86.0,0.6897308723410793,MANTENER
MSP → FNT,442,11.3,491.0,0.6883180166747799,MANTENER
DSM → EWR,191,13.1,1017.0,0.6880478190741085,MANTENER
IAH → MLU,794,10.3,262.0,0.6877395965084551,MANTENER
SNA → ATL,970,10.0,1919.0,0.687729607149743,MANTENER
DLH → MSP,618,10.7,144.0,0.6876342649479729,MANTENER
MSN → MSP,1277,9.6,228.0,0.6866178101791238,MANTENER
MSN → ATL,893,10.1,707.0,0.6862532446685263,MANTENER
BDL → DTW,1364,9.5,549.0,0.6857267996483237,MANTENER
MSP → HLN,230,12.6,913.0,0.6851979929243226,MANTENER
CDV → YAK,331,11.8,213.0,0.6846499682944934,MANTENER
LNK → MSP,382,11.5,331.0,0.6837233699897561,MANTENER
OMA → ATL,1552,9.3,821.0,0.6832988721691143,MANTENER
JAX → DCA,669,10.5,634.0,0.683107326313464,MANTENER
MSP → SNA,916,10.0,1522.0,0.6820016364674131,MANTENER
SNA → SEA,2762,8.6,978.0,0.6814390887213544,MANTENER
MSP → PSP,155,13.5,1454.0,0.6808623907840984,MANTENER
ADQ → ANC,460,11.1,253.0,0.6805661403326286,MANTENER
ANC → JNU,1034,9.8,571.0,0.6802366253967007,MANTENER
EUG → LAX,513,10.9,748.0,0.6801900671236139,MANTENER
OAK → ORD,334,11.7,1836.0,0.679903496178274,MANTENER
DCA → PDX,334,11.7,2350.0,0.679903496178274,MANTENER
CAK → EWR,120,14.2,382.0,0.6798238274750504,MANTENER
DAY → MSP,603,10.6,574.0,0.6786032228530817,MANTENER
FLL → ALB,346,11.6,1204.0,0.6781868979066961,MANTENER
CHS → DTW,283,12.0,667.0,0.6774536277171885,MANTENER
RSW → IAH,621,10.5,861.0,0.6752897636030153,MANTENER
BDL → MSP,847,10.0,1050.0,0.6741700694652055,MANTENER
GEG → SLC,1202,9.5,546.0,0.6737155009340395,MANTENER
SLC → MCI,610,10.5,920.0,0.6734131905025725,MANTENER
SMF → MSP,541,10.7,1517.0,0.6733958628365735,MANTENER
SDF → MCO,367,11.4,719.0,0.6732112506782211,MANTENER
PIT → LAS,598,10.5,1910.0,0.6713270291648162,MANTENER
GCC → DEN,634,10.4,313.0,0.6710130912614716,MANTENER
HNL → PDX,714,10.2,2603.0,0.6702300621586376,MANTENER
MIA → JAX,339,11.5,335.0,0.6699900123487518,MANTENER
